"t_stamp","boucherville/deck shop/line 51/standard/status"
"2024-03-21 08:55:38.875","2"
"2024-03-21 09:07:44.955","6"
"2024-03-21 09:10:17.078","7"
"2024-03-21 09:10:25.595","2"
"2024-03-21 09:11:09.676","6"
"2024-03-21 09:13:36.544","7"
"2024-03-21 09:13:42.911","2"
"2024-03-21 09:14:28.540","6"
"2024-03-21 09:17:01.885","7"
"2024-03-21 09:17:10.753","2"
"2024-03-21 09:18:00.465","6"
"2024-03-21 09:20:33.434","7"
"2024-03-21 09:20:39.455","2"
"2024-03-21 09:21:23.808","6"
"2024-03-21 09:23:56.635","7"
"2024-03-21 09:24:03.645","2"
"2024-03-21 09:24:49.884","3"
"2024-03-21 09:24:50.885","6"
"2024-03-21 09:27:23.745","7"
"2024-03-21 09:27:30.772","2"
"2024-03-21 09:51:29.866","3"
"2024-03-21 09:51:31.870","6"
"2024-03-21 09:54:55.600","7"
"2024-03-21 09:55:04.618","2"
"2024-03-21 09:55:50.734","6"
"2024-03-21 09:57:46.515","7"
"2024-03-21 09:57:55.531","2"
"2024-03-21 09:58:48.778","6"
"2024-03-21 10:02:33.901","7"
"2024-03-21 10:02:43.929","2"
"2024-03-21 10:03:36.261","6"
"2024-03-21 10:05:24.333","7"
"2024-03-21 10:05:33.364","2"
"2024-03-21 10:06:36.447","6"
"2024-03-21 10:09:25.288","7"
"2024-03-21 10:09:35.311","2"
"2024-03-21 10:10:35.176","6"
"2024-03-21 10:13:14.201","7"
"2024-03-21 10:13:21.546","2"
"2024-03-21 10:15:54.541","3"
"2024-03-21 10:15:55.543","6"
"2024-03-21 10:18:37.462","7"
"2024-03-21 10:18:46.476","2"
"2024-03-21 10:19:26.440","6"
"2024-03-21 10:22:09.811","7"
"2024-03-21 10:22:18.831","2"
"2024-03-21 10:23:50.719","6"
"2024-03-21 10:26:32.908","7"
"2024-03-21 10:26:42.930","2"
"2024-03-21 10:27:35.060","3"
"2024-03-21 10:27:35.558","6"
"2024-03-21 10:30:18.389","7"
"2024-03-21 10:30:24.400","2"
"2024-03-21 10:31:01.557","6"
"2024-03-21 10:33:44.497","7"
"2024-03-21 10:33:53.513","2"
"2024-03-21 10:34:37.759","6"
"2024-03-21 10:36:43.938","7"
"2024-03-21 10:36:50.952","2"
"2024-03-21 10:46:25.061","3"
"2024-03-21 10:46:27.068","6"
"2024-03-21 10:47:21.200","7"
"2024-03-21 10:47:28.812","2"
"2024-03-21 10:48:01.881","3"
"2024-03-21 10:48:02.882","6"
"2024-03-21 10:48:32.948","7"
"2024-03-21 10:48:33.952","2"
"2024-03-21 10:49:55.135","3"
"2024-03-21 10:50:01.142","6"
"2024-03-21 10:52:28.395","7"
"2024-03-21 10:52:36.419","2"
"2024-03-21 10:53:16.493","6"
"2024-03-21 10:55:49.456","7"
"2024-03-21 10:55:56.470","2"
"2024-03-21 10:56:38.668","6"
"2024-03-21 10:59:12.491","7"
"2024-03-21 10:59:18.308","2"
"2024-03-21 11:00:09.492","6"
"2024-03-21 11:02:43.362","7"
"2024-03-21 11:02:52.396","2"
"2024-03-21 11:03:45.756","6"
"2024-03-21 11:05:49.091","7"
"2024-03-21 11:05:50.596","2"
"2024-03-21 11:13:25.745","3"
"2024-03-21 11:13:26.746","6"
"2024-03-21 11:15:29.613","7"
"2024-03-21 11:15:38.631","2"
"2024-03-21 11:16:30.760","6"
"2024-03-21 11:18:26.640","7"
"2024-03-21 11:18:36.659","2"
"2024-03-21 11:19:39.309","6"
"2024-03-21 11:21:35.552","7"
"2024-03-21 11:21:41.570","2"
"2024-03-21 11:22:43.524","6"
"2024-03-21 11:24:00.682","7"
"2024-03-21 11:24:07.422","2"
"2024-03-21 11:25:02.574","6"
"2024-03-21 11:27:10.559","7"
"2024-03-21 11:27:16.658","2"
"2024-03-21 11:28:10.772","6"
"2024-03-21 11:30:34.368","7"
"2024-03-21 11:30:43.401","2"
"2024-03-21 11:31:52.422","6"
"2024-03-21 11:33:55.673","7"
"2024-03-21 11:34:02.281","2"
"2024-03-21 11:35:02.534","6"
"2024-03-21 11:35:24.581","7"
"2024-03-21 11:35:33.596","2"
"2024-03-21 11:36:09.523","3"
"2024-03-21 11:36:10.526","6"
"2024-03-21 11:38:10.580","2"
"2024-03-21 11:40:18.480","3"
"2024-03-21 11:40:20.487","6"
"2024-03-21 11:41:43.559","7"
"2024-03-21 11:41:46.558","2"
"2024-03-21 11:41:52.568","6"
"2024-03-21 11:42:14.620","7"
"2024-03-21 11:42:19.629","2"
"2024-03-21 11:42:59.710","3"
"2024-03-21 11:43:02.722","6"
"2024-03-21 11:45:55.672","7"
"2024-03-21 11:45:57.679","2"
"2024-03-21 11:47:22.528","3"
"2024-03-21 11:47:28.536","6"
"2024-03-21 11:48:09.635","7"
"2024-03-21 11:48:11.639","2"
"2024-03-21 11:49:19.276","3"
"2024-03-21 11:49:24.285","6"
"2024-03-21 11:50:01.499","7"
"2024-03-21 11:50:03.504","2"
"2024-03-21 12:00:40.378","3"
"2024-03-21 12:00:46.393","6"
"2024-03-21 12:02:34.683","2"
"2024-03-21 12:02:57.748","3"
"2024-03-21 12:03:00.753","6"
"2024-03-21 12:03:10.773","7"
"2024-03-21 12:03:14.281","2"
"2024-03-21 12:04:41.497","3"
"2024-03-21 12:04:45.504","6"
"2024-03-21 12:06:25.650","2"
"2024-03-21 12:06:48.697","3"
"2024-03-21 12:06:51.705","6"
"2024-03-21 12:07:06.732","7"
"2024-03-21 12:07:10.743","2"
"2024-03-21 12:08:11.372","3"
"2024-03-21 12:08:15.382","6"
"2024-03-21 12:09:59.252","2"
"2024-03-21 12:10:15.291","3"
"2024-03-21 12:10:18.298","6"
"2024-03-21 12:10:31.321","7"
"2024-03-21 12:10:35.336","2"
"2024-03-21 12:11:07.398","3"
"2024-03-21 12:11:12.408","6"
"2024-03-21 12:11:13.413","2"
"2024-03-21 12:11:33.447","6"
"2024-03-21 12:17:27.238","7"
"2024-03-21 12:17:34.251","2"
"2024-03-21 12:20:18.451","3"
"2024-03-21 12:20:19.454","6"
"2024-03-21 12:23:21.460","7"
"2024-03-21 12:23:24.463","2"
"2024-03-21 12:24:33.618","6"
"2024-03-21 12:27:36.287","7"
"2024-03-21 12:27:42.308","2"
"2024-03-21 13:41:51.608","3"
"2024-03-21 13:41:53.608","6"
"2024-03-21 13:44:46.471","2"
"2024-03-21 13:49:47.305","3"
"2024-03-21 13:49:54.321","6"
"2024-03-21 13:51:18.493","7"
"2024-03-21 13:51:26.508","2"
"2024-03-21 13:52:22.113","6"
"2024-03-21 13:54:44.159","7"
"2024-03-21 13:54:50.164","2"
"2024-03-21 13:55:23.231","6"
"2024-03-21 13:58:11.139","7"
"2024-03-21 13:58:17.160","2"
"2024-03-21 13:58:51.218","3"
"2024-03-21 13:58:52.218","6"
"2024-03-21 14:00:57.247","7"
"2024-03-21 14:01:01.374","2"
"2024-03-21 14:01:35.943","6"
"2024-03-21 14:04:42.909","7"
"2024-03-21 14:04:46.923","2"
"2024-03-21 14:05:21.983","6"
"2024-03-21 14:08:34.066","7"
"2024-03-21 14:08:39.076","2"
