"id","time","previous","difference","productionLineName","seats","spacers"
35370,"2024-03-08 06:50:10.89057+00","2024-03-08 06:41:14.53377+00","00:08:56.3568","25",False,False
35357,"2024-03-08 04:55:22.364147+00","2024-03-08 04:46:25.661046+00","00:08:56.703101","25",False,False
35371,"2024-03-08 06:59:15.921843+00","2024-03-08 06:50:10.89057+00","00:09:05.031273","25",False,False
35714,"2024-03-12 23:02:02.23784+00","2024-03-12 22:52:55.824659+00","00:09:06.413181","25",False,False
35848,"2024-03-13 15:41:13.555978+00","2024-03-13 15:32:06.456897+00","00:09:07.099081","25",False,False
35539,"2024-03-12 01:22:13.061942+00","2024-03-12 01:13:04.829841+00","00:09:08.232101","25",False,False
35517,"2024-03-11 22:02:16.041035+00","2024-03-11 21:53:07.727832+00","00:09:08.313203","25",False,False
35161,"2024-03-07 04:57:16.230175+00","2024-03-07 04:48:04.381994+00","00:09:11.848181","25",False,False
35954,"2024-03-14 04:38:43.730137+00","2024-03-14 04:29:30.812804+00","00:09:12.917333","25",False,False
35373,"2024-03-08 07:17:02.083974+00","2024-03-08 07:07:48.6316+00","00:09:13.452374","25",False,False
35870,"2024-03-13 18:48:54.649118+00","2024-03-13 18:39:38.354308+00","00:09:16.29481","25",False,False
35724,"2024-03-13 00:38:19.341387+00","2024-03-13 00:29:02.531904+00","00:09:16.809483","25",False,False
35525,"2024-03-11 23:18:27.987654+00","2024-03-11 23:09:09.632091+00","00:09:18.355563","25",False,False
35393,"2024-03-08 19:54:42.55961+00","2024-03-08 19:45:17.707398+00","00:09:24.852212","25",False,False
35717,"2024-03-12 23:25:08.364348+00","2024-03-12 23:15:39.316446+00","00:09:29.047902","25",False,False
35664,"2024-03-12 17:20:37.228419+00","2024-03-12 17:11:06.103677+00","00:09:31.124742","25",False,False
35519,"2024-03-11 22:22:15.274097+00","2024-03-11 22:12:42.315967+00","00:09:32.95813","25",False,False
35794,"2024-03-13 10:57:36.525505+00","2024-03-13 10:48:02.459274+00","00:09:34.066231","25",False,False
35171,"2024-03-07 06:36:34.59334+00","2024-03-07 06:26:57.083204+00","00:09:37.510136","25",False,False
35705,"2024-03-12 21:44:32.190668+00","2024-03-12 21:34:51.973431+00","00:09:40.217237","25",False,False
35715,"2024-03-12 23:11:44.690239+00","2024-03-12 23:02:02.23784+00","00:09:42.452399","25",False,False
35527,"2024-03-11 23:40:01.617257+00","2024-03-11 23:30:16.9688+00","00:09:44.648457","25",False,False
35513,"2024-03-11 21:20:07.66894+00","2024-03-11 21:10:22.722795+00","00:09:44.946145","25",False,False
35508,"2024-03-11 20:15:18.096135+00","2024-03-11 20:05:31.705229+00","00:09:46.390906","25",False,False
35972,"2024-03-14 10:54:49.676182+00","2024-03-14 10:45:00.318304+00","00:09:49.357878","25",False,False
